Trade Date/Time,CUSIP *,Security Description *,Coupon(%),MaturityDate,Price (%),Yield (%),Calculation/ Date & Price (%),TradeAmount($),SpecialCondition
01/09/2019 02:56 PM,63165TYM1,"NASSAU COUNTY, NEW YORK / GENERAL IMPROVEMENT BONDS, 2017 SERIES B",5,04/01/2024,113.686,2.21,"04/01/2024
@ 100","640,000",Customer bought,-
01/09/2019 01:53 PM,63165TYM1,"NASSAU COUNTY, NEW YORK / GENERAL IMPROVEMENT BONDS, 2017 SERIES B",5,04/01/2024,113.686,2.21,"04/01/2024
@ 100","640,000",Customer bought,-
01/03/2019 12:18 PM,63165TYM1,"NASSAU COUNTY, NEW YORK / GENERAL IMPROVEMENT BONDS, 2017 SERIES B",5,04/01/2024,114.775,2.011,"04/01/2024
@ 100","90,000",Customer bought,-
01/03/2019 12:17 PM,63165TYM1,"NASSAU COUNTY, NEW YORK / GENERAL IMPROVEMENT BONDS, 2017 SERIES B",5,04/01/2024,114.085,2.14,"04/01/2024
@ 100","90,000",Inter-dealer trade,-
01/31/2019 10:25 AM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,112.931,2,"08/15/2023
@ 100","50,000",Customer bought,
01/31/2019 10:25 AM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,112.931,2,"08/15/2023
@ 100","50,000",Inter-dealer trade,-
01/24/2019 10:10 AM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,114.406,1.7,"08/15/2023
@ 100","100,000",Customer bought,-
01/23/2019 02:51 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,112.906,2.02,"08/15/2023
@ 100","50,000",Inter-dealer trade,
01/23/2019 02:51 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,112.95,2.011,"08/15/2023
@ 100","50,000",Customer bought,-
01/22/2019 03:55 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,112.867,2.03,"08/15/2023
@ 100","100,000",Inter-dealer trade,
01/22/2019 03:53 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,112.807,2.043,"08/15/2023
@ 100","100,000",Inter-dealer trade,
01/18/2019 04:01 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,112.906,2.023,"08/15/2023
@ 100","50,000",Customer bought,
01/18/2019 04:01 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,112.906,2.023,"08/15/2023
@ 100","50,000",Inter-dealer trade,
01/18/2019 04:01 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,112.906,2.023,"08/15/2023
@ 100","50,000",Inter-dealer trade,
01/16/2019 02:53 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,111.51,2.332,"08/15/2023
@ 100","50,000",Customer sold,-
01/15/2019 03:56 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,112.872,2.04,"08/15/2023
@ 100","200,000",Customer bought,-
01/15/2019 02:58 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,114.473,1.7,"08/15/2023
@ 100","50,000",Customer bought,-
01/15/2019 02:24 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,112.84,2.047,"08/15/2023
@ 100","50,000",Inter-dealer trade,
01/15/2019 02:23 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,112.965,2.02,"08/15/2023
@ 100","50,000",Inter-dealer trade,
01/04/2019 04:32 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,113.033,2.02,"08/15/2023
@ 100","300,000",Inter-dealer trade,-
01/04/2019 04:31 PM,68441MAX3,"ORANGE COUNTY TRANSPORTATION AUTHORITY / ORANGE COUNTY, CALIFORNIA SENIOR LIEN TOLL ROAD REVENUE REFUNDING BONDS (91 EXPRESS LANES), SERIES 2013",5,08/15/2028,113.408,1.94,"08/15/2023
@ 100","300,000",Customer bought,-
01/09/2019 04:37 PM,544525SC3,DEPARTMENT OF WATER AND POWER OF THE CITY OF LOS ANGELES / WATER SYSTEM REVENUE BONDS 2013 SERIES B,5,07/01/2027,113.598,1.82,"07/01/2023
@ 100","400,000",Inter-dealer trade,-
01/09/2019 04:36 PM,544525SC3,DEPARTMENT OF WATER AND POWER OF THE CITY OF LOS ANGELES / WATER SYSTEM REVENUE BONDS 2013 SERIES B,5,07/01/2027,113.973,1.739,"07/01/2023
@ 100","400,000",Customer bought,-
01/09/2019 10:28 AM,544525SC3,DEPARTMENT OF WATER AND POWER OF THE CITY OF LOS ANGELES / WATER SYSTEM REVENUE BONDS 2013 SERIES B,5,07/01/2027,113.368,1.87,"07/01/2023
@ 100","400,000",Customer sold,-
01/24/2019 01:16 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.394,2.21,"08/01/2024
@ 100","385,000",Inter-dealer trade,
01/24/2019 01:16 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.394,2.21,"08/01/2024
@ 100","385,000",Customer bought,
01/17/2019 02:43 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.491,2.2,"08/01/2024
@ 100","400,000",Customer bought,-
01/15/2019 04:17 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.525,2.2,"08/01/2024
@ 100","50,000",Inter-dealer trade,-
01/15/2019 04:17 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.525,2.2,"08/01/2024
@ 100","100,000",Inter-dealer trade,-
01/15/2019 04:13 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.9,2.133,"08/01/2024
@ 100","100,000",Customer bought,-
01/15/2019 04:13 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.925,2.129,"08/01/2024
@ 100","25,000",Customer bought,-
01/15/2019 04:13 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.925,2.129,"08/01/2024
@ 100","25,000",Customer bought,-
01/15/2019 11:23 AM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.525,2.2,"08/01/2024
@ 100","500,000",Inter-dealer trade,-
01/15/2019 11:21 AM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.675,2.173,"08/01/2024
@ 100","75,000",Customer bought,-
01/15/2019 11:21 AM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.9,2.133,"08/01/2024
@ 100","50,000",Customer bought,-
01/15/2019 11:21 AM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.9,2.133,"08/01/2024
@ 100","50,000",Customer bought,-
01/15/2019 11:21 AM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.9,2.133,"08/01/2024
@ 100","50,000",Customer bought,-
01/15/2019 11:21 AM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.9,2.133,"08/01/2024
@ 100","100,000",Customer bought,-
01/15/2019 11:21 AM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.9,2.133,"08/01/2024
@ 100","150,000",Customer bought,-
01/15/2019 11:21 AM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.925,2.129,"08/01/2024
@ 100","25,000",Customer bought,-
01/10/2019 02:33 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.264,2.25,"08/01/2024
@ 100","55,000",Customer bought,-
01/10/2019 02:03 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.264,2.25,"08/01/2024
@ 100","100,000",Customer bought,-
01/10/2019 01:11 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.264,2.25,"08/01/2024
@ 100","165,000",Inter-dealer trade,-
01/10/2019 01:06 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.545,2.2,"08/01/2024
@ 100","50,000",Customer bought,-
01/10/2019 01:06 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.545,2.2,"08/01/2024
@ 100","50,000",Customer bought,-
01/10/2019 01:06 PM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,114.545,2.2,"08/01/2024
@ 100","65,000",Customer bought,-
01/10/2019 10:04 AM,93974DHC5,"STATE OF WASHINGTON / WASHINGTON VARIOUS PURPOSE GENERAL OBLIGATION BONDS, SERIES 2015A-1",5,08/01/2029,113.899,2.315,"08/01/2024
@ 100","1,755,000",Customer sold,-
